Airline,Flight,Arrives,Departs,Fare
USAir,1269,06:15,10:57,$210
Delta,5138,16:20,22:10,$212
UNITED,6001,14:12,20:50,$217
Delta,5054,12:30,20:22,$227
UNITED,5949,09:30,14:43,$264
JetBlue,1075,17:00,20:06,$280
Delta,1263,06:00,11:30,$282
Delta,3824,09:00,14:45,$282
USAir,1865,16:55,21:33,$300
USAir,3289,18:55,23:41,$300
USAir,1053,08:00,13:02,$300
USAir,2689,12:55,18:09,$300
USAir,3973,09:25,14:00,$302
USAir,3267,11:30,16:13,$302
USAir,3609,13:25,18:28,$302
USAir,3863,15:35,20:54,$302
USAir,3826,17:45,23:19,$302
USAir,1927,07:00,12:53,$302
Delta,3601,12:00,17:29,$307
Delta,4268,07:15,12:46,$307
UNITED,4676,06:00,10:45,$321
UNITED,4103,11:00,16:16,$321
USAir,3139,11:51,16:29,$332
JetBlue,4750,07:30,10:42,$340
USAir,3267,11:30,18:15,$367
UNITED,2869,16:55,21:33,$406
UNITED,2865,06:15,10:57,$406
UNITED,2729,08:00,13:02,$406
UNITED,2645,07:00,12:53,$445
